Crop,Year,Month,Price
Palm oil,2017,January,108.7
Peas,2017,January,120.2
Potato,2017,January,102.5
Ragi,2017,January,242.6
Rajma,2017,January,165.5
Rapeseed & Mustard,2017,January,147.7
Rapeseed & Mustard (Meal/Cake),2017,January,226.7
Rapeseed & Mustard Oil,2017,January,125.8
Rice,2017,January,146.2
Safflower,2017,January,114.1
Sesamum,2017,January,116.4
Soya oil,2017,January,108.1
Soybean,2017,January,127.8
Sugarcane,2017,January,167.6
Sunflower,2017,January,110.0
Sunflower oil,2017,January,106.4
Tobacco,2017,January,113.6
Tomato,2017,January,91.4
Tur,2017,January,140.7
Urad,2017,January,167.6
Wheat,2017,January,151.3
Wheat Atta,2017,January,151.3
Bajra,2018,January,131.7
Barley,2018,January,141.6
Castorseed,2018,January,97.9
Cotton,2018,January,110.6
Cotton (Meal/Cake),2018,January,141.7
Cotton Oil,2018,January,103.7
Gram,2018,January,140.8
Groundnut,2018,January,113.4
Groundnut Oil,2018,January,104.3
Jowar,2018,January,118.3
Jute,2018,January,159.5
Lentil,2018,January,126.7
Linseed,2018,January,152.5
Maize,2018,January,116.4
Mesta,2018,January,107.9
Moong,2018,January,112.2
Nigerseed,2018,January,200.8
Onion,2018,January,346.2
Paddy,2018,January,150.4
Palm oil,2018,January,111.6
Peas,2018,January,130.0
Potato,2018,January,111.4
Ragi,2018,January,207.9
Rajma,2018,January,141.2
Rapeseed & Mustard,2018,January,137.6
Rapeseed & Mustard (Meal/Cake),2018,January,180.4
Rapeseed & Mustard Oil,2018,January,120.8
Rice,2018,January,152.1
Safflower,2018,January,138.8
Sesamum,2018,January,132.2
Soya oil,2018,January,110.7
Soybean,2018,January,136.6
Sugarcane,2018,January,169.5
Sunflower,2018,January,99.8
Sunflower oil,2018,January,105.8
Tobacco,2018,January,113.6
Tomato,2018,January,119.7
Tur,2018,January,114.9
Urad,2018,January,114.8
Wheat,2018,January,140.8
Wheat Atta,2018,January,140.5
Bajra,2019,January,171.2
Barley,2019,January,159.2
Castorseed,2019,January,121.8
Cotton,2019,January,115.5
Cotton (Meal/Cake),2019,January,151.5
Cotton Oil,2019,January,106.7
Gram,2019,January,147.4
Groundnut,2019,January,123.8
Groundnut Oil,2019,January,112.6
Jowar,2019,January,143.0
Jute,2019,January,198.5
Lentil,2019,January,127.5
Linseed,2019,January,151.9
Maize,2019,January,147.9
Mesta,2019,January,128.5
Moong,2019,January,125.8
Nigerseed,2019,January,140.8
Onion,2019,January,119.1
Paddy,2019,January,155.8
Palm oil,2019,January,111.0
Peas,2019,January,167.7
Potato,2019,January,141.4
Ragi,2019,January,223.4
Rajma,2019,January,133.6
Rapeseed & Mustard,2019,January,144.5
Rapeseed & Mustard (Meal/Cake),2019,January,190.2
Rapeseed & Mustard Oil,2019,January,124.7
Rice,2019,January,150.7
Safflower,2019,January,155.3
Sesamum,2019,January,171.0
Soya oil,2019,January,112.7
Soybean,2019,January,151.5
Sugarcane,2019,January,169.5
Sunflower,2019,January,119.7
Sunflower oil,2019,January,110.4
Tobacco,2019,January,113.6
Tomato,2019,January,167.5
Tur,2019,January,127.8
Urad,2019,January,123.5
Wheat,2019,January,154.8
Wheat Atta,2019,January,153.9
Bajra,2020,January,201.6
Barley,2020,January,180.4
Castorseed,2020,January,101.5
Cotton,2020,January,109.0
Cotton (Meal/Cake),2020,January,156.7
Cotton Oil,2020,January,121.7
Gram,2020,January,145.6
Groundnut,2020,January,139.0
Groundnut Oil,2020,January,125.7
Jowar,2020,January,177.1
Jute,2020,January,207.1
Lentil,2020,January,147.9
Linseed,2020,January,172.0
Maize,2020,January,178.8
Mesta,2020,January,138.6
Moong,2020,January,151.3
Nigerseed,2020,January,171.5
Onion,2020,January,468.5
Paddy,2020,January,162.3
Palm oil,2020,January,138.1
Peas,2020,January,182.4
Potato,2020,January,262.3
Ragi,2020,January,213.8
Rajma,2020,January,141.8
Rapeseed & Mustard,2020,January,152.9
Rapeseed & Mustard (Meal/Cake),2020,January,203.2
Rapeseed & Mustard Oil,2020,January,133.4
Rice,2020,January,154.7
Safflower,2020,January,200.3
Sesamum,2020,January,184.7
Soya oil,2020,January,121.7
Soybean,2020,January,181.8
Sugarcane,2020,January,169.5
Sunflower,2020,January,124.2
Sunflower oil,2020,January,116.2
Tobacco,2020,January,113.6
Tomato,2020,January,200.0
Tur,2020,January,152.0
Urad,2020,January,180.9
Wheat,2020,January,168.7
Wheat Atta,2020,January,160.7
Bajra,2021,January,148.3
Barley,2021,January,151.6
Castorseed,2021,January,107.5
Cotton,2021,January,109.9
Cotton (Meal/Cake),2021,January,159.5
Cotton Oil,2021,January,146.4
Gram,2021,January,155.6
Groundnut,2021,January,156.4
Groundnut Oil,2021,January,151.8
Jowar,2021,January,151.9
Jute,2021,January,253.8
Lentil,2021,January,165.4
Linseed,2021,January,176.9
Maize,2021,January,137.4
Mesta,2021,January,183.2
Moong,2021,January,166.7
Nigerseed,2021,January,206.7
Onion,2021,January,316.0
Paddy,2021,January,162.0
Palm oil,2021,January,166.7
Peas,2021,January,172.9
Potato,2021,January,200.7
Ragi,2021,January,226.2
Rajma,2021,January,179.5
Rapeseed & Mustard,2021,January,177.5
Rapeseed & Mustard (Meal/Cake),2021,January,222.4
Rapeseed & Mustard Oil,2021,January,173.6
Rice,2021,January,151.3
Safflower,2021,January,167.2
Sesamum,2021,January,173.0
Soya oil,2021,January,151.6
Soybean,2021,January,188.0
Sugarcane,2021,January,189.4
Sunflower,2021,January,142.5
Sunflower oil,2021,January,150.9
Tobacco,2021,January,113.6
Tomato,2021,January,175.7
Tur,2021,January,166.8
Urad,2021,January,194.0
Wheat,2021,January,149.1
