Crop,Year,Month,Price
Groundnut Oil,2023,February,177.3
Jowar,2023,February,208.8
Jute,2023,February,257.0
Lentil,2023,February,196.3
Linseed,2023,February,219.9
Maize,2023,February,193.1
Mesta,2023,February,192.8
Moong,2023,February,167.8
Nigerseed,2023,February,246.4
Onion,2023,February,159.5
Paddy,2023,February,175.6
Palm oil,2023,February,164.2
Peas,2023,February,160.2
Potato,2023,February,146.0
Ragi,2023,February,222.0
Rajma,2023,February,240.6
Rapeseed & Mustard,2023,February,185.9
Rapeseed & Mustard (Meal/Cake),2023,February,192.9
Rapeseed & Mustard Oil,2023,February,180.5
Rice,2023,February,170.2
Safflower,2023,February,197.8
Sesamum,2023,February,211.3
Soya oil,2023,February,163.8
Soybean,2023,February,234.6
Sugarcane,2023,February,210.1
Sunflower,2023,February,165.9
Sunflower oil,2023,February,147.3
Tobacco,2023,February,113.6
Tomato,2023,February,167.8
Tur,2023,February,197.3
Urad,2023,February,184.6
Wheat,2023,February,196.8
Wheat Atta,2023,February,189.8
Bajra,2024,February,242.8
Barley,2024,February,198.2
Castorseed,2024,February,108.8
Cotton,2024,February,151.0
Cotton (Meal/Cake),2024,February,181.1
Cotton Oil,2024,February,118.9
Gram,2024,February,192.4
Groundnut,2024,February,190.4
Groundnut Oil,2024,February,168.3
Jowar,2024,February,231.8
Jute,2024,February,231.4
Lentil,2024,February,188.5
Linseed,2024,February,185.4
Maize,2024,February,198.3
Mesta,2024,February,169.5
Moong,2024,February,202.4
Nigerseed,2024,February,292.3
Onion,2024,February,206.1
Paddy,2024,February,193.6
Palm oil,2024,February,147.4
Peas,2024,February,180.2
Potato,2024,February,168.4
Ragi,2024,February,285.6
Rajma,2024,February,233.7
Rapeseed & Mustard,2024,February,162.8
Rapeseed & Mustard (Meal/Cake),2024,February,217.0
Rapeseed & Mustard Oil,2024,February,151.1
Rice,2024,February,187.7
Safflower,2024,February,178.8
Sesamum,2024,February,232.5
Soya oil,2024,February,125.1
Soybean,2024,February,202.9
Sugarcane,2024,February,217.0
Sunflower,2024,February,125.7
Sunflower oil,2024,February,128.5
Tobacco,2024,February,113.6
Tomato,2024,February,269.3
Tur,2024,February,263.6
Urad,2024,February,215.8
Wheat,2024,February,201.4
Wheat Atta,2024,February,187.7
Bajra,2013,March,132.5
Barley,2013,March,119.5
Castorseed,2013,March,80.7
Cotton,2013,March,100.2
Cotton (Meal/Cake),2013,March,114.7
Cotton Oil,2013,March,99.6
Gram,2013,March,117.5
Groundnut,2013,March,121.1
Groundnut Oil,2013,March,123.8
Jowar,2013,March,101.9
Jute,2013,March,123.8
Lentil,2013,March,119.5
Linseed,2013,March,130.6
Maize,2013,March,121.8
Mesta,2013,March,119.3
Moong,2013,March,118.3
Nigerseed,2013,March,117.9
Onion,2013,March,159.1
Paddy,2013,March,118.7
Palm oil,2013,March,94.2
Peas,2013,March,123.2
Potato,2013,March,124.1
Ragi,2013,March,173.8
Rajma,2013,March,164.8
Rapeseed & Mustard,2013,March,121.6
Rapeseed & Mustard (Meal/Cake),2013,March,148.3
Rapeseed & Mustard Oil,2013,March,109.3
Rice,2013,March,121.7
Safflower,2013,March,115.2
Sesamum,2013,March,161.6
Soya oil,2013,March,107.5
Soybean,2013,March,150.9
Sugarcane,2013,March,104.9
Sunflower,2013,March,111.1
Sunflower oil,2013,March,107.1
Tobacco,2013,March,104.0
Tomato,2013,March,84.1
Tur,2013,March,116.3
Urad,2013,March,96.5
Wheat,2013,March,122.8
Wheat Atta,2013,March,120.6
Bajra,2014,March,133.6
Barley,2014,March,124.1
Castorseed,2014,March,90.7
Cotton,2014,March,107.4
Cotton (Meal/Cake),2014,March,123.2
Cotton Oil,2014,March,103.9
Gram,2014,March,103.5
Groundnut,2014,March,99.3
Groundnut Oil,2014,March,92.0
Jowar,2014,March,111.3
Jute,2014,March,124.8
Lentil,2014,March,140.8
Linseed,2014,March,126.7
Maize,2014,March,121.0
Mesta,2014,March,120.7
Moong,2014,March,132.6
Nigerseed,2014,March,112.6
Onion,2014,March,126.8
Paddy,2014,March,132.6
Palm oil,2014,March,111.8
Peas,2014,March,116.7
Potato,2014,March,158.3
Ragi,2014,March,162.5
Rajma,2014,March,183.2
Rapeseed & Mustard,2014,March,118.5
Rapeseed & Mustard (Meal/Cake),2014,March,152.5
Rapeseed & Mustard Oil,2014,March,107.4
Rice,2014,March,127.8
Safflower,2014,March,112.0
Sesamum,2014,March,145.4
Soya oil,2014,March,107.4
Soybean,2014,March,169.5
Sugarcane,2014,March,124.3
Sunflower,2014,March,114.5
Sunflower oil,2014,March,100.5
Tobacco,2014,March,110.0
Tomato,2014,March,82.1
Tur,2014,March,119.0
Urad,2014,March,108.3
Wheat,2014,March,127.5
Wheat Atta,2014,March,127.9
Bajra,2015,March,124.8
Barley,2015,March,132.6
Castorseed,2015,March,86.5
Cotton,2015,March,83.6
Cotton (Meal/Cake),2015,March,125.8
Cotton Oil,2015,March,92.7
Gram,2015,March,110.9
Groundnut,2015,March,115.0
Groundnut Oil,2015,March,103.0
Jowar,2015,March,114.4
Jute,2015,March,141.6
Lentil,2015,March,164.9
Linseed,2015,March,129.7
Maize,2015,March,122.4
Mesta,2015,March,133.1
Moong,2015,March,150.7
Nigerseed,2015,March,146.7
Onion,2015,March,185.0
Paddy,2015,March,132.0
Palm oil,2015,March,96.3
Peas,2015,March,124.7
Potato,2015,March,109.2
Ragi,2015,March,166.7
Rajma,2015,March,155.0
Rapeseed & Mustard,2015,March,126.7
Rapeseed & Mustard (Meal/Cake),2015,March,164.9
Rapeseed & Mustard Oil,2015,March,112.4
Rice,2015,March,128.7
Safflower,2015,March,94.5
Sesamum,2015,March,119.8
Soya oil,2015,March,100.0
Soybean,2015,March,141.3
Sugarcane,2015,March,124.3
Sunflower,2015,March,106.9
Sunflower oil,2015,March,94.1
Tobacco,2015,March,112.7
Tomato,2015,March,122.7
Tur,2015,March,144.8
Urad,2015,March,133.7
Wheat,2015,March,125.9
Wheat Atta,2015,March,128.0
Bajra,2016,March,147.7
Barley,2016,March,139.4
Castorseed,2016,March,77.8
Cotton,2016,March,85.7
Cotton (Meal/Cake),2016,March,161.7
Cotton Oil,2016,March,98.6
Gram,2016,March,143.8
Groundnut,2016,March,128.9
Groundnut Oil,2016,March,112.2
Jowar,2016,March,115.8
Jute,2016,March,225.8
Lentil,2016,March,182.3
Linseed,2016,March,135.0
Maize,2016,March,135.8
Mesta,2016,March,170.7
Moong,2016,March,158.7
Nigerseed,2016,March,241.2
Onion,2016,March,133.2
Paddy,2016,March,135.2
Palm oil,2016,March,95.5
Peas,2016,March,112.4
Potato,2016,March,133.2
Ragi,2016,March,167.3
Rajma,2016,March,155.0
Rapeseed & Mustard,2016,March,132.3
Rapeseed & Mustard (Meal/Cake),2016,March,231.4
Rapeseed & Mustard Oil,2016,March,117.6
Rice,2016,March,132.5
Safflower,2016,March,110.1
Sesamum,2016,March,104.7
Soya oil,2016,March,99.7
Soybean,2016,March,151.4
Sugarcane,2016,March,159.7
Sunflower,2016,March,118.1
Sunflower oil,2016,March,101.3
Tobacco,2016,March,113.6
Tomato,2016,March,99.4
Tur,2016,March,201.2
Urad,2016,March,198.2
Wheat,2016,March,134.1
Wheat Atta,2016,March,130.5
Bajra,2017,March,152.6
Barley,2017,March,156.9
Castorseed,2017,March,100.5
Cotton,2017,March,114.3
Cotton (Meal/Cake),2017,March,162.6
Cotton Oil,2017,March,100.4
Gram,2017,March,181.9
Groundnut,2017,March,137.7
Groundnut Oil,2017,March,118.7
Jowar,2017,March,132.1
Jute,2017,March,188.3
Lentil,2017,March,154.0
Linseed,2017,March,162.3
Maize,2017,March,135.2
Mesta,2017,March,129.1
Moong,2017,March,115.4
Nigerseed,2017,March,202.3
Onion,2017,March,110.6
Paddy,2017,March,147.7
Palm oil,2017,March,106.8
Peas,2017,March,122.2
Potato,2017,March,91.1
Ragi,2017,March,258.0
Rajma,2017,March,163.0
Rapeseed & Mustard,2017,March,135.3
Rapeseed & Mustard (Meal/Cake),2017,March,195.8
Rapeseed & Mustard Oil,2017,March,117.6
Rice,2017,March,147.2
Safflower,2017,March,124.8
Sesamum,2017,March,115.6
Soya oil,2017,March,105.4
Soybean,2017,March,124.9
Sugarcane,2017,March,167.6
Sunflower,2017,March,106.8
Sunflower oil,2017,March,103.9
Tobacco,2017,March,113.6
Tomato,2017,March,126.1
Tur,2017,March,126.0
Urad,2017,March,151.1
Wheat,2017,March,142.9
Wheat Atta,2017,March,145.3
Bajra,2018,March,126.8
Barley,2018,March,140.8
Castorseed,2018,March,98.4
Cotton,2018,March,103.3
Cotton (Meal/Cake),2018,March,137.9
Cotton Oil,2018,March,109.0
Gram,2018,March,130.3
Groundnut,2018,March,114.3
Groundnut Oil,2018,March,103.7
Jowar,2018,March,118.1
Jute,2018,March,165.8
Lentil,2018,March,120.6
Linseed,2018,March,146.5
Maize,2018,March,117.3
Mesta,2018,March,122.9
Moong,2018,March,114.1
Nigerseed,2018,March,179.4
Onion,2018,March,157.3
Paddy,2018,March,152.6
Palm oil,2018,March,118.1
Peas,2018,March,129.0
Potato,2018,March,130.5
Ragi,2018,March,220.8
Rajma,2018,March,134.1
Rapeseed & Mustard,2018,March,136.1
Rapeseed & Mustard (Meal/Cake),2018,March,190.4
Rapeseed & Mustard Oil,2018,March,119.3
Rice,2018,March,151.5
Safflower,2018,March,139.0
Sesamum,2018,March,130.1
Soya oil,2018,March,112.6
Soybean,2018,March,156.0
Sugarcane,2018,March,169.5
Sunflower,2018,March,104.4
Sunflower oil,2018,March,107.4
Tobacco,2018,March,113.6
Tomato,2018,March,92.7
Tur,2018,March,116.6
Urad,2018,March,112.1
Wheat,2018,March,141.2
Wheat Atta,2018,March,140.8
Bajra,2019,March,182.0
Barley,2019,March,163.9
Castorseed,2019,March,122.8
Cotton,2019,March,117.1
Cotton (Meal/Cake),2019,March,158.0
Cotton Oil,2019,March,108.3
Gram,2019,March,141.5
Groundnut,2019,March,126.8
Groundnut Oil,2019,March,112.7
Jowar,2019,March,150.4
Jute,2019,March,202.6
Lentil,2019,March,130.1
Linseed,2019,March,151.5
Maize,2019,March,163.7
Mesta,2019,March,133.9
Moong,2019,March,127.8
Nigerseed,2019,March,165.3
Onion,2019,March,108.0
Paddy,2019,March,156.6
Palm oil,2019,March,110.3
Peas,2019,March,168.2
Potato,2019,March,133.8
Ragi,2019,March,221.4
Rajma,2019,March,131.2
Rapeseed & Mustard,2019,March,139.4
Rapeseed & Mustard (Meal/Cake),2019,March,187.6
Rapeseed & Mustard Oil,2019,March,122.9
Rice,2019,March,151.1
Safflower,2019,March,156.8
Sesamum,2019,March,170.3
Soya oil,2019,March,112.5
Soybean,2019,March,157.5
Sugarcane,2019,March,169.5
Sunflower,2019,March,122.9
Sunflower oil,2019,March,109.4
Tobacco,2019,March,113.6
Tomato,2019,March,161.8
Tur,2019,March,132.4
Urad,2019,March,122.1
Wheat,2019,March,155.5
Wheat Atta,2019,March,154.4
Bajra,2020,March,187.5
Barley,2020,March,182.3
Castorseed,2020,March,97.7
Cotton,2020,March,107.0
Cotton (Meal/Cake),2020,March,146.4
Cotton Oil,2020,March,115.7
Gram,2020,March,138.5
Groundnut,2020,March,149.8
Groundnut Oil,2020,March,132.1
Jowar,2020,March,158.2
Jute,2020,March,210.2
Lentil,2020,March,146.0
Linseed,2020,March,164.4
Maize,2020,March,158.5
Mesta,2020,March,136.6
Moong,2020,March,162.0
Nigerseed,2020,March,164.5
Onion,2020,March,229.3
Paddy,2020,March,159.3
Palm oil,2020,March,132.8
Peas,2020,March,180.1
Potato,2020,March,215.9
Ragi,2020,March,215.0
Rajma,2020,March,142.2
Rapeseed & Mustard,2020,March,148.2
Rapeseed & Mustard (Meal/Cake),2020,March,200.6
Rapeseed & Mustard Oil,2020,March,131.4
Rice,2020,March,155.5
Safflower,2020,March,164.5
Sesamum,2020,March,189.8
Soya oil,2020,March,118.2
Soybean,2020,March,157.2
Sugarcane,2020,March,169.5
Sunflower,2020,March,114.8
Sunflower oil,2020,March,112.8
Tobacco,2020,March,113.6
Tomato,2020,March,135.7
Tur,2020,March,150.9
Urad,2020,March,176.9
Wheat,2020,March,162.9
Wheat Atta,2020,March,158.7
Bajra,2021,March,146.9
Barley,2021,March,150.0
Castorseed,2021,March,109.8
Cotton,2021,March,116.1
Cotton (Meal/Cake),2021,March,178.5
Cotton Oil,2021,March,159.5
Gram,2021,March,159.6
Groundnut,2021,March,170.4
Groundnut Oil,2021,March,165.3
Jowar,2021,March,149.0
Jute,2021,March,282.6
Lentil,2021,March,168.4
Linseed,2021,March,181.9
Maize,2021,March,135.7
Mesta,2021,March,186.8
Moong,2021,March,169.2
Nigerseed,2021,March,211.5
Onion,2021,March,241.1
Paddy,2021,March,161.5
Palm oil,2021,March,184.3
Peas,2021,March,188.7
Potato,2021,March,143.8
Ragi,2021,March,232.0
Rajma,2021,March,197.2
Rapeseed & Mustard,2021,March,172.9
Rapeseed & Mustard (Meal/Cake),2021,March,217.8
Rapeseed & Mustard Oil,2021,March,176.3
Rice,2021,March,151.7
Safflower,2021,March,164.9
Sesamum,2021,March,176.0
Soya oil,2021,March,161.9
Soybean,2021,March,217.7
Sugarcane,2021,March,196.3
Sunflower,2021,March,174.0
Sunflower oil,2021,March,165.6
Tobacco,2021,March,113.6
Tomato,2021,March,142.1
Tur,2021,March,175.0
Urad,2021,March,196.7
Wheat,2021,March,150.3
Wheat Atta,2021,March,144.1
Bajra,2022,March,196.4
Barley,2022,March,187.0
Castorseed,2022,March,138.8
Cotton,2022,March,185.0
Cotton (Meal/Cake),2022,March,209.5
Cotton Oil,2022,March,187.4
Gram,2022,March,165.9
Groundnut,2022,March,169.1
Groundnut Oil,2022,March,169.7
Jowar,2022,March,153.9
Jute,2022,March,291.6
Lentil,2022,March,205.5
Linseed,2022,March,259.3
Maize,2022,March,169.5
Mesta,2022,March,187.6
Moong,2022,March,168.8
Nigerseed,2022,March,259.9
Onion,2022,March,218.6
Paddy,2022,March,163.1
Palm oil,2022,March,217.1
Peas,2022,March,187.9
Potato,2022,March,181.7
Ragi,2022,March,234.9
Rajma,2022,March,246.7
Rapeseed & Mustard,2022,March,210.9
Rapeseed & Mustard (Meal/Cake),2022,March,241.4
Rapeseed & Mustard Oil,2022,March,218.3
Rice,2022,March,154.9
Safflower,2022,March,225.4
Sesamum,2022,March,186.3
Soya oil,2022,March,196.1
Soybean,2022,March,308.2
Sugarcane,2022,March,199.8
Sunflower,2022,March,202.6
Sunflower oil,2022,March,173.0
Tobacco,2022,March,113.6
Tomato,2022,March,162.1
Tur,2022,March,177.9
Urad,2022,March,176.7
Wheat,2022,March,171.4
Wheat Atta,2022,March,160.6
Bajra,2023,March,225.1
Barley,2023,March,218.6
Castorseed,2023,March,120.3
Cotton,2023,March,169.3
Cotton (Meal/Cake),2023,March,187.5
Cotton Oil,2023,March,139.4
Gram,2023,March,167.4
Groundnut,2023,March,197.4
Groundnut Oil,2023,March,178.9
Jowar,2023,March,208.3
Jute,2023,March,255.6
Lentil,2023,March,194.6
Linseed,2023,March,201.6
Maize,2023,March,193.7
Mesta,2023,March,175.2
Moong,2023,March,172.8
Nigerseed,2023,March,263.4
Onion,2023,March,138.1
Paddy,2023,March,175.4
Palm oil,2023,March,164.2
Peas,2023,March,166.9
Potato,2023,March,135.2
Ragi,2023,March,224.3
Rajma,2023,March,240.1
Rapeseed & Mustard,2023,March,176.2
Rapeseed & Mustard (Meal/Cake),2023,March,193.5
Rapeseed & Mustard Oil,2023,March,169.2
Rice,2023,March,174.1
Safflower,2023,March,194.0
Sesamum,2023,March,208.6
Soya oil,2023,March,151.1
Soybean,2023,March,225.8
Sugarcane,2023,March,210.1
Sunflower,2023,March,153.0
Sunflower oil,2023,March,140.7
Tobacco,2023,March,113.6
Tomato,2023,March,191.1
Tur,2023,March,201.7
Urad,2023,March,185.6
Wheat,2023,March,187.1
Wheat Atta,2023,March,182.0
Bajra,2024,March,239.9
Barley,2024,March,194.8
Castorseed,2024,March,110.5
Cotton,2024,March,157.7
Cotton (Meal/Cake),2024,March,182.3
Cotton Oil,2024,March,124.0
Gram,2024,March,192.8
Groundnut,2024,March,189.7
Groundnut Oil,2024,March,168.0
Jowar,2024,March,227.6
Jute,2024,March,232.1
Lentil,2024,March,188.8
Linseed,2024,March,175.5
Maize,2024,March,196.2
Mesta,2024,March,169.7
Moong,2024,March,205.1
Nigerseed,2024,March,295.3
Onion,2024,March,216.8
Paddy,2024,March,196.0
Palm oil,2024,March,152.3
Peas,2024,March,185.2
Potato,2024,March,206.8
Ragi,2024,March,291.9
Rajma,2024,March,234.6
Rapeseed & Mustard,2024,March,162.2
Rapeseed & Mustard (Meal/Cake),2024,March,207.5
Rapeseed & Mustard Oil,2024,March,152.5
Rice,2024,March,190.3
Safflower,2024,March,188.8
Sesamum,2024,March,236.1
Soya oil,2024,March,130.1
Soybean,2024,March,204.1
Sugarcane,2024,March,217.0
Sunflower,2024,March,126.1
Sunflower oil,2024,March,127.9
Tobacco,2024,March,113.6
Tomato,2024,March,250.1
Tur,2024,March,261.5
Urad,2024,March,218.2
Wheat,2024,March,201.0
Wheat Atta,2024,March,187.1
Bajra,2012,April,107.7
Barley,2012,April,117.1
Castorseed,2012,April,81.9
Cotton,2012,April,89.9
Cotton (Meal/Cake),2012,April,104.3
Cotton Oil,2012,April,107.5
Gram,2012,April,116.1
Groundnut,2012,April,112.5
Groundnut Oil,2012,April,118.9
Jowar,2012,April,98.3
Jute,2012,April,101.6
Lentil,2012,April,102.5
Linseed,2012,April,114.7
Maize,2012,April,107.9
Mesta,2012,April,97.7
Moong,2012,April,96.3
Nigerseed,2012,April,116.4
Onion,2012,April,72.8
Paddy,2012,April,104.2
Palm oil,2012,April,112.5
Peas,2012,April,113.2
Potato,2012,April,142.4
Ragi,2012,April,107.2
Rajma,2012,April,134.7
Rapeseed & Mustard,2012,April,117.9
Rapeseed & Mustard (Meal/Cake),2012,April,130.0
Rapeseed & Mustard Oil,2012,April,115.6
Rice,2012,April,103.6
Safflower,2012,April,103.9
Sesamum,2012,April,123.7
Soya oil,2012,April,108.3
Soybean,2012,April,131.0
Sugarcane,2012,April,100.0
Sunflower,2012,April,101.9
Sunflower oil,2012,April,102.2
Tobacco,2012,April,100.0
Tomato,2012,April,129.3
Tur,2012,April,97.1
Urad,2012,April,90.7
Wheat,2012,April,104.6
Wheat Atta,2012,April,104.9
Bajra,2013,April,136.4
Barley,2013,April,116.5
Castorseed,2013,April,80.8
Cotton,2013,April,98.8
Cotton (Meal/Cake),2013,April,124.2
Cotton Oil,2013,April,99.9
Gram,2013,April,118.8
Groundnut,2013,April,124.7
Groundnut Oil,2013,April,124.3
Jowar,2013,April,101.7
Jute,2013,April,124.0
Lentil,2013,April,126.1
Linseed,2013,April,126.5
Maize,2013,April,121.4
Mesta,2013,April,120.0
Moong,2013,April,120.0
Nigerseed,2013,April,117.9
Onion,2013,April,145.2
Paddy,2013,April,120.4
Palm oil,2013,April,94.9
Peas,2013,April,136.2
Potato,2013,April,148.9
Ragi,2013,April,173.1
Rajma,2013,April,166.1
Rapeseed & Mustard,2013,April,117.7
Rapeseed & Mustard (Meal/Cake),2013,April,149.9
Rapeseed & Mustard Oil,2013,April,105.8
Rice,2013,April,125.4
Safflower,2013,April,119.4
Sesamum,2013,April,160.5
Soya oil,2013,April,108.1
Soybean,2013,April,163.0
Sugarcane,2013,April,104.9
Sunflower,2013,April,111.9
Sunflower oil,2013,April,107.5
Tobacco,2013,April,104.0
Tomato,2013,April,106.9
Tur,2013,April,118.1
Urad,2013,April,96.2
Wheat,2013,April,120.1
Wheat Atta,2013,April,119.0
Bajra,2014,April,134.4
Barley,2014,April,119.2
Castorseed,2014,April,88.9
Cotton,2014,April,106.3
Cotton (Meal/Cake),2014,April,127.8
Cotton Oil,2014,April,104.8
Gram,2014,April,102.8
Groundnut,2014,April,100.4
Groundnut Oil,2014,April,91.0
Jowar,2014,April,115.7
Jute,2014,April,127.6
Lentil,2014,April,143.3
Linseed,2014,April,127.0
Maize,2014,April,119.2
Mesta,2014,April,120.5
Moong,2014,April,135.5
Nigerseed,2014,April,114.3
Onion,2014,April,130.7
Paddy,2014,April,133.7
Palm oil,2014,April,110.9
Peas,2014,April,129.9
Potato,2014,April,188.9
Ragi,2014,April,163.2
Rajma,2014,April,180.2
Rapeseed & Mustard,2014,April,116.9
Rapeseed & Mustard (Meal/Cake),2014,April,153.5
Rapeseed & Mustard Oil,2014,April,105.8
Rice,2014,April,130.7
Safflower,2014,April,125.4
Sesamum,2014,April,147.1
Soya oil,2014,April,106.9
Soybean,2014,April,175.6
Sugarcane,2014,April,124.3
Sunflower,2014,April,109.9
Sunflower oil,2014,April,101.2
Tobacco,2014,April,110.0
Tomato,2014,April,102.4
Tur,2014,April,120.6
Urad,2014,April,109.7
Wheat,2014,April,123.5
Wheat Atta,2014,April,129.2
Bajra,2015,April,127.3
Barley,2015,April,120.1
Castorseed,2015,April,87.1
Cotton,2015,April,89.5
Cotton (Meal/Cake),2015,April,136.6
Cotton Oil,2015,April,94.3
Gram,2015,April,115.3
Groundnut,2015,April,119.7
Groundnut Oil,2015,April,104.3
Jowar,2015,April,111.3
Jute,2015,April,141.1
Lentil,2015,April,165.1
Linseed,2015,April,129.0
Maize,2015,April,121.4
Mesta,2015,April,135.6
Moong,2015,April,151.4
Nigerseed,2015,April,165.2
Onion,2015,April,171.8
Paddy,2015,April,132.6
Palm oil,2015,April,95.3
Peas,2015,April,126.1
Potato,2015,April,100.5
Ragi,2015,April,164.2
Rajma,2015,April,157.2
Rapeseed & Mustard,2015,April,127.5
Rapeseed & Mustard (Meal/Cake),2015,April,175.0
Rapeseed & Mustard Oil,2015,April,113.1
Rice,2015,April,127.3
Safflower,2015,April,104.2
Sesamum,2015,April,116.3
Soya oil,2015,April,98.9
Soybean,2015,April,145.5
Sugarcane,2015,April,150.3
Sunflower,2015,April,105.8
Sunflower oil,2015,April,94.7
Tobacco,2015,April,113.6
Tomato,2015,April,166.7
Tur,2015,April,148.4
Urad,2015,April,138.8
Wheat,2015,April,125.1
Wheat Atta,2015,April,128.0
Bajra,2016,April,155.8
Barley,2016,April,143.4
Castorseed,2016,April,78.9
Cotton,2016,April,89.9
Cotton (Meal/Cake),2016,April,171.4
Cotton Oil,2016,April,94.9
Gram,2016,April,159.1
Groundnut,2016,April,139.1
Groundnut Oil,2016,April,118.7
Jowar,2016,April,115.5
Jute,2016,April,229.4
Lentil,2016,April,186.8
Linseed,2016,April,140.1
Maize,2016,April,135.2
Mesta,2016,April,170.7
Moong,2016,April,162.2
Nigerseed,2016,April,221.2
Onion,2016,April,123.5
Paddy,2016,April,136.3
Palm oil,2016,April,99.3
Peas,2016,April,136.6
Potato,2016,April,167.7
Ragi,2016,April,174.1
Rajma,2016,April,153.8
Rapeseed & Mustard,2016,April,144.2
Rapeseed & Mustard (Meal/Cake),2016,April,232.9
Rapeseed & Mustard Oil,2016,April,120.4
Rice,2016,April,134.3
Safflower,2016,April,108.9
Sesamum,2016,April,119.2
Soya oil,2016,April,101.4
Soybean,2016,April,167.5
Sugarcane,2016,April,159.7
Sunflower,2016,April,115.5
Sunflower oil,2016,April,105.4
Tobacco,2016,April,113.6
Tomato,2016,April,142.7
Tur,2016,April,217.5
Urad,2016,April,213.0
Wheat,2016,April,132.9
Wheat Atta,2016,April,130.1
Bajra,2017,April,153.8
Barley,2017,April,144.5
Castorseed,2017,April,109.3
Cotton,2017,April,111.5
Cotton (Meal/Cake),2017,April,160.8
Cotton Oil,2017,April,98.3
Gram,2017,April,183.4
Groundnut,2017,April,139.8
Groundnut Oil,2017,April,119.0
Jowar,2017,April,131.6
Jute,2017,April,168.9
Lentil,2017,April,155.3
Linseed,2017,April,162.0
Maize,2017,April,135.5
Mesta,2017,April,130.6
Moong,2017,April,120.8
Nigerseed,2017,April,201.6
Onion,2017,April,107.9
Paddy,2017,April,147.6
Palm oil,2017,April,105.9
Peas,2017,April,133.3
Potato,2017,April,99.5
Ragi,2017,April,252.8
Rajma,2017,April,162.2
Rapeseed & Mustard,2017,April,130.6
Rapeseed & Mustard (Meal/Cake),2017,April,196.8
Rapeseed & Mustard Oil,2017,April,118.1
Rice,2017,April,147.7
Safflower,2017,April,126.0
Sesamum,2017,April,116.4
Soya oil,2017,April,103.0
Soybean,2017,April,126.8
Sugarcane,2017,April,167.6
Sunflower,2017,April,104.2
Sunflower oil,2017,April,102.5
Tobacco,2017,April,113.6
Tomato,2017,April,118.8
Tur,2017,April,127.2
Urad,2017,April,149.5
Wheat,2017,April,141.0
Wheat Atta,2017,April,142.3
Bajra,2018,April,127.0
Barley,2018,April,138.9
Castorseed,2018,April,96.7
Cotton,2018,April,102.9
Cotton (Meal/Cake),2018,April,134.9
Cotton Oil,2018,April,110.4
Gram,2018,April,127.0
Groundnut,2018,April,109.6
Groundnut Oil,2018,April,103.3
Jowar,2018,April,118.0
Jute,2018,April,166.1
Lentil,2018,April,120.8
Linseed,2018,April,141.1
Maize,2018,April,118.0
Mesta,2018,April,123.2
Moong,2018,April,111.5
Nigerseed,2018,April,169.5
Onion,2018,April,122.6
Paddy,2018,April,153.3
Palm oil,2018,April,122.0
Peas,2018,April,145.5
Potato,2018,April,170.8
Ragi,2018,April,213.5
Rajma,2018,April,132.6
Rapeseed & Mustard,2018,April,136.8
Rapeseed & Mustard (Meal/Cake),2018,April,186.7
Rapeseed & Mustard Oil,2018,April,120.3
Rice,2018,April,151.5
Safflower,2018,April,137.8
Sesamum,2018,April,128.1
Soya oil,2018,April,114.4
Soybean,2018,April,157.5
Sugarcane,2018,April,169.5
Sunflower,2018,April,107.2
Sunflower oil,2018,April,107.4
Tobacco,2018,April,113.6
Tomato,2018,April,111.2
Tur,2018,April,115.3
Urad,2018,April,110.5
Wheat,2018,April,140.9
Wheat Atta,2018,April,140.6
Bajra,2019,April,188.0
Barley,2019,April,159.0
Castorseed,2019,April,129.6
Cotton,2019,April,125.0
Cotton (Meal/Cake),2019,April,166.5
Cotton Oil,2019,April,108.6
Gram,2019,April,144.1
Groundnut,2019,April,129.5
Groundnut Oil,2019,April,114.8
Jowar,2019,April,150.9
Jute,2019,April,197.3
Lentil,2019,April,131.8
Linseed,2019,April,153.0
Maize,2019,April,171.3
Mesta,2019,April,130.6
Moong,2019,April,128.2
Nigerseed,2019,April,174.7
Onion,2019,April,118.6
Paddy,2019,April,157.0
Palm oil,2019,April,109.9
Peas,2019,April,179.0
Potato,2019,April,143.1
Ragi,2019,April,221.7
Rajma,2019,April,131.9
Rapeseed & Mustard,2019,April,138.2
Rapeseed & Mustard (Meal/Cake),2019,April,184.4
Rapeseed & Mustard Oil,2019,April,120.2
Rice,2019,April,150.9
Safflower,2019,April,167.6
Sesamum,2019,April,167.3
Soya oil,2019,April,111.6
Soybean,2019,April,162.3
Sugarcane,2019,April,169.5
Sunflower,2019,April,120.8
Sunflower oil,2019,April,108.7
Tobacco,2019,April,113.6
Tomato,2019,April,208.8
Tur,2019,April,136.8
Urad,2019,April,123.5
Wheat,2019,April,151.5
Wheat Atta,2019,April,151.1
Bajra,2020,April,188.9
Barley,2020,April,177.8
Castorseed,2020,April,96.8
Cotton,2020,April,106.8
Cotton (Meal/Cake),2020,April,151.8
Cotton Oil,2020,April,117.7
Gram,2020,April,146.7
Groundnut,2020,April,155.8
Groundnut Oil,2020,April,137.8
Jowar,2020,April,159.1
Jute,2020,April,209.1
Lentil,2020,April,149.7
Linseed,2020,April,165.6
Maize,2020,April,155.4
Mesta,2020,April,136.6
Moong,2020,April,174.2
Nigerseed,2020,April,163.6
Onion,2020,April,204.4
Paddy,2020,April,162.7
Palm oil,2020,April,128.3
Peas,2020,April,187.8
